perc_ratio,percussive_loudness,beat_align,mean_ioi_sec,note_shortness,dissonance,spectral_centroid_mean,track_id,perc_ratio_norm,percussive_loudness_norm,note_shortness_norm,dissonance_norm,spectral_centroid_mean_norm,combat_score,chill_score
0.023706509,0.009123913012444973,1.9511125087738037,2.2600755857898718,0.0,0.3366073668003082,1200.266864416282,From Past to Present,0.07241394,0.11621063960386237,0.0,0.49316193471111663,0.6684073664831655,0.25843260651664907,0.7415673934833509
0.058811944,0.012403071857988834,1.1975611448287964,28.28190476190476,0.0,0.46662652492523193,992.9395244263777,Jeremy Soule - The Elder Scrolls V Skyrim - The Original Game Soundtrack - 01 - Before the Storm,0.29882225,0.19863902880328935,0.0,0.999393384088064,0.38730361453688433,0.3666761698646202,0.6333238301353799
0.19836937,0.04410461708903313,2.79974102973938,0.5827671394178923,0.6114885737214051,0.4602195918560028,1450.9647797812404,Jeremy Soule - The Elder Scrolls V Skyrim - The Original Game Soundtrack - 01 - Dragonborn,1.0,0.9955224466586886,0.6757607200287332,0.9744478986652106,1.0,0.9626238803882559,0.03737611961174414
0.029717166,0.01730801910161972,1.274506688117981,0.3030815133070772,0.7979456577952818,0.33894503116607666,812.2564901508925,Jeremy Soule - The Elder Scrolls V Skyrim - The Original Game Soundtrack - 01 - Frostfall,0.11117896,0.32193494688608887,0.8818158759270786,0.5022636643108636,0.1423254131556742,0.3058236466499874,0.6941763533500126
0.032765154,0.006038172636181116,4.62227725982666,0.7191861439776948,0.5205425706815368,0.39507797360420227,909.2250598333226,Jeremy Soule - The Elder Scrolls V Skyrim - The Original Game Soundtrack - 02 - A Chance Meeting,0.13083659,0.038644220688624324,0.5752555934587689,0.7208180775069747,0.27379977037225167,0.2693202575558899,0.73067974244411
0.021418406,0.011525418609380722,1.2834763526916504,0.16845849450891465,0.8876943369940569,0.3865366578102112,1113.3059068477996,Jeremy Soule - The Elder Scrolls V Skyrim - The Original Game Soundtrack - 02 - Awake,0.0576571,0.1765774127102719,0.9809978307228906,0.6875623424573454,0.5505017808207434,0.37277597386068484,0.6272240261393152
0.023706509,0.009123913012444973,1.9511125087738037,2.2600755857898718,0.0,0.3366073668003082,1200.266864416282,Jeremy Soule - The Elder Scrolls V Skyrim - The Original Game Soundtrack - 03 - From Past to Present,0.07241394,0.11621063960386237,0.0,0.49316193471111663,0.6684073664831655,0.25843260651664907,0.7415673934833509
0.022335852,0.006318071391433477,7.823436737060547,0.33234120417793883,0.7784391972147074,0.35882946848869324,726.9335744243263,Jeremy Soule - The Elder Scrolls V Skyrim - The Original Game Soundtrack - 03 - Out of the Cold,0.06357405,0.04568005049166343,0.8602591364987034,0.5796840050594294,0.02664075845021156,0.20879889472587615,0.7912011052741239
0.08042309,0.01348971389234066,7.746641159057617,0.4051624086671706,0.7298917275552196,0.46538639068603516,1201.211455144341,Jeremy Soule - The Elder Scrolls V Skyrim - The Original Game Soundtrack - 04 - Around the Fire,0.4382007,0.22595400704831362,0.8066089548558733,0.994564903713446,0.6696880851656315,0.5517319694594672,0.44826803054053277
0.026256489,0.00779500650241971,1.336824893951416,0.22866972918088296,0.8475535138794114,0.3078049421310425,805.1632589106674,Jeremy Soule - The Elder Scrolls V Skyrim - The Original Game Soundtrack - 04 - Kyne's Peace,0.08885974,0.08280584643049384,0.9366378987532422,0.38101928284220155,0.13270809054329252,0.22471768421134444,0.7752823157886556
