perc_ratio,percussive_loudness,beat_align,mean_ioi_sec,note_shortness,dissonance,spectral_centroid_mean,track_id,perc_ratio_norm,percussive_loudness_norm,note_shortness_norm,dissonance_norm,spectral_centroid_mean_norm,combat_score,chill_score
0.12926365,0.06707605719566345,3.4211058616638184,0.37172988620996394,0.752180075860024,0.4644354283809662,2321.3127982162473,01 The Trail,0.5881671,0.853530250662471,0.8579891751737388,0.8114797955788827,0.9355216766326945,0.7844579181700324,0.2155420818299676
0.14647222,0.04888598248362541,2.463909149169922,0.3809888648196709,0.7460074234535528,0.3558889329433441,1556.0411227635657,02 Geralt of Rivia,0.67202586,0.5892734764411423,0.8509482163437578,0.4832172673249009,0.29875826155724616,0.5662551969220881,0.43374480307791186
0.13808209,0.044934019446372986,2.467149019241333,0.5314597082614141,0.6456935278257239,0.43797099590301514,1631.502073805485,"03 Eredin, King of the Hunt",0.63114005,0.5318612326434232,0.7365231746145188,0.7314469812628159,0.36154743098765824,0.5779861809514004,0.4220138190485996
0.010235707,0.009924691170454025,1.4921603202819824,0.18331785624302632,0.8777880958379825,0.27133771777153015,1809.1407109325232,"04 Wake Up, Ciri",0.008133621,0.023262323386202557,1.0,0.2275204293261474,0.5093560966611276,0.24425495091077942,0.7557450490892206
0.18405525,0.059829432517290115,6.743052005767822,0.38333293551338665,0.7444447096577422,0.4400871992111206,1597.8302169032331,05 Aen Seidhe,0.85517126,0.748254725860349,0.8491656757477881,0.7378467295496443,0.33352992128389625,0.7059146276549342,0.2940853723450658
0.18227336,0.05967435613274574,6.997986793518066,0.21499367957588983,0.8566708802827401,0.47179558873176575,1973.54464924397,06 Commanding the Fury,0.84648794,0.746001849729473,0.9771786910584568,0.8337381359828491,0.6461525005645192,0.7924559457768013,0.20754405422319866
0.050168507,0.03298979252576828,2.364457130432129,0.42371398511373815,0.7175240099241746,0.3331261873245239,1397.7470984061076,07 Emhyr var Emreis,0.2027296,0.35834117147964395,0.8184580437580757,0.41437896539068364,0.1670457641931338,0.32781597568938037,0.6721840243106196
0.010781616,0.01217346265912056,2.735884189605713,1.0695337647254026,0.28697749018306495,0.18757542967796326,1509.8837899033751,08 Spikeroog,0.010793881,0.05593140853089644,0.32734658627333585,0.0,0.2603518996787103,0.10202605504991549,0.8979739449500845
0.014882441,0.01587672345340252,1.2381020784378052,2.351125953411668,0.0,0.24688567221164703,1148.9853972040544,09 King Bran Final Voyage,0.030777553,0.10973062415201917,0.0,0.15357340538854414,0.0,0.05970193296147501,0.940298067038525
0.1471169,0.06949059665203094,5.278115749359131,0.2614031048316763,0.8257312634455491,0.4364020824432373,2414.5234100834527,10 Silver for Monsters...,0.67516744,0.8886075341849808,0.9418868012806252,0.7267023278602164,1.0,0.8278961601649324,0.1721038398350676
